no,berita,tagging
0,kurma cuci bersih kandung virus corona asal kelelawar,Hoax
1,ada virus bahaya rsup  sardjito,Hoax
2,virus corona duga sebar masuk indonesia gedung bri,Hoax
3,virus corona masuk jakarta  pasien rspi sulianti saroso jakarta sedang isolasi,Hoax
4,orang infeksi virus corona rumah sakit wahidin makassar,Hoax
5,panik luar biasa orang china akibat viruscorona,Hoax
6,wna asal china serang corona rsu soetomo surabaya,Hoax
7,pasien umur bulan tinggal virus corona rsud  soetomo,Hoax
8,virus corona cegah rutin minum air putih jaga tengggorokan tetap lembap,Hoax
9,sup kelelawar sebab virus corona,Hoax
10,vaksin virus corona ada kembang belum,Hoax
11,baru datang malaysia  orang pasien tinggal dadak duga kena virus corona,Hoax
12,pasien corona rsud moewardi solo,Hoax
13,sembuh virus corona bawang putih,Hoax
14,xiaomi buat china tular virus corona,Hoax
15,korban tinggal kena virus corona singapura,Hoax
16,virus korona sengaja sebar rezim tiongkok basmi umat islam wuhan,Hoax
17,tumpang tinggal virus corona terminal bandara soekarno hatta,Hoax
18,pasien jangkit virus corona rshs bandung,Hoax
19,virus corona masuk palembang,Hoax
20,pasien jangkit virus corona rsud tara,Hoax
21,korban tinggal wuhan akibat virus corona capai ribu orang,Hoax
22,jokowi  virus corona minum bodrex menit langsung sembuh,Hoax
23,foto mayat gelimpang jalan kota wuhan sebut korban virus corona china,Hoax
24,duga jangkit virus corona  satu pasien dor sylvanus isolasi,Hoax
25,tiga orang tka china iwip tinggal dunia akibat virus corona,Hoax
26,video detik warga kena virus corona pusat belanja lombok,Hoax
27,virus corona serang shah alam selangor,Hoax
28,orang pasien papar virus corona siloam jember,Hoax
29,pasien rsud zainoel abidin banda aceh positif kena virus corona,Hoax
30,kanujoso balikpapan terima pasien positif corona,Hoax
31,orang warga depok isolasi duga infeksi virus corona,Hoax
32,virus corona pertama kali temu arab saudi,Hoax
33,presiden china umum virus corona jadi epidemi mohon doa umat islam,Hoax
34,virus corona rupa senjata biologis bocor laboratorium wuhan,Hoax
35,china baru bangun rumah sakit lantai,Hoax
36,virus corona wuhan hasil kawin virus kelelawar virus babi,Hoax
37,virus corona duga muncul pasar wuhan jual aneka satwa liar,Hoax
38,kabar ada pasien positif corona columbia asia medan sumber prof delfitri munir  ,Hoax
39,kitab iqro lama prediksi jadi virus corona,Hoax
40,warga jombang kena virus corona,Hoax
41,pasien virus corona masuk rsud rabain muara enim,Hoax
42,virus corona tular lewat game free fire,Hoax
43,mahasiswa indonesia wuhan boleh luar kamar,Hoax
44,pasien positif suspek virus corona singkawang,Hoax
45,pasien virus corona rsud iskak tulungagung,Hoax
46,duduk wuhan teriak gak karuan,Hoax
47,pasien positif kena virus corona semarang orang tinggal,Hoax
48,virus corona masuk pekanbaru,Hoax
49,pasien virus corona rsud bahteramas,Hoax
50,virus corona sebar lewat tatap mata,Hoax
51,dua tumpang lion air tinggal virus corona,Hoax
52,wudhu hancur virus corona,Hoax
53,china lapor diam kremasi korban virus corona,Hoax
54,imbau ibu dubes kbri kuala lumpur soal produk china,Hoax
55,dettol antiseptik bunuh virus corona muncul wuhan,Hoax
56,semprot disinfeksi asal,Hoax
57,ratus warga tinggal pulau natuna takut tular virus corona,Hoax
58,kumur air garam cegah pneumonia wuhan,Hoax
59,produk tak laku  warga tiongkok ngamuk-ngamuk malaysia,Hoax
60,kfc beri snack bucket raya ulang tahun,Hoax
61,kok topi lambang palu arit  pki  perhati topi guna ipw minta polisi segera jemput hrs selesai perkara tunda,Hoax
62,informasi  kalau jeruk jalan jangan dilindes  kalau isi paku ban bisa meledak nabrak  utama tol  jalan sepi hati kalau udah musibah barang ambil moga manfaat,Hoax
63,detik begal payudara amuk massa,Hoax
64,tidak pernah temu belum  kota caldwell  idaho  perintah tunjuk video kepada kalian  akan saya tunjuk  apa ini,Hoax
