no,berita,tagging
1,ta,tang
2,ging1,"ing"""
3,jakarta  di jejaring sosial  banyak edar informasi yang sebut lele sebagaiikan paling jorok  dalam suap daging ikan lele  kandung 3000 sel kanker  benar  juluk bagai ikan paling jorok rujuk pada sifat lele yang doyan mengonsumsisegala jenis limbah di air  bahkan buah artikel yang cukup viral di internetmenyebutkan kotor manusia juga jadi pakan pada buah budidaya lele di kota haikou  china sementara itu di habitat asli  lele atau catfish juga kenal bagai spesies ikan yangsangat tangguh  ikan ini lengkap alat napas tambah upa labirin  sehingga mampu tahan hidup dalam kondisi air lumpur atau bahkan cemar agak  fakta ini yang muncul duga soal akumulasi racun karsinogen  sebab kanker  di tubuh ikan lele untung  ikan lele yang edar di pasar bukan asal dari alam liar lele banyak dibudidayakan di kolam  yang mesti bisa kendali agar bebas dari cemar pakan yang beri juga bisa pilih  tidak harus andal limbah yang pasti  popularitas ikan sungut ini tidak pernah pudar  bahkan terus tingkat  data menteri laut dan ikan  kkp  sebut produksi lele pada 2013 capai 543 461 ton  tingkat dari 441 217 ton pada 2012 dan 337 577 ton pada 2011 konsumsi ikan lele turut badan pusat statistik  bps  catat 29 98 kg  kapita  tahun  naik dari 22 58 kg  kapita  tahun pada 2004  di jakarta  tak kurang dari 6000 lapak pecel lele telah daftar di asosiasi dagang kaki lima indonesia  apkli  soal kandung nutrisi  tak bisa dipungkiri bahwa lele adalah sumber protein harga yang murah riah  fakta bahwa ikan lele juga rendah kolesterol seperti bakal tenggelam tuding bahwa lele bisa picu kanker    saat ini belum ada teliti yang nyata jika makan lele dapat picu kanker    tegas dr dradjat r suardi  spb  k  onk  ahli kanker dari himpun onkologi indonesia saat hubung detikhealth  jumat  23 10 2015   ,Valid
4,2,Isu 
5,bahwa ikan lele kandung sel kanker di jejaring social dan berita dari mulut ke mulut terus sebar  dampak dari isu sebut para ibu ibu enggan beli ikan lele  waspada online hasil rangkum komentar ibu yang biasa beli ikan lele untuk konsumsi rutin bagai lauk  edar informasi yang sebut lele kandung sela kanker dipisu karena hidup ikan lele yang bisa hidup di tempat yang sangat jorok sekalipun  juluk bagai ikan paling jorok rujuk pada sifat lele yang doyan konsumsi bagai jenis limbah di air  bahkan buah artikel yang cukup vital di internet sebut kotor manusia juga jadi pakan pada buah budidaya lele di kota haikou  tiongkok  dasar isu sebut  dalam suap daging ikan lele  kandung 3000 sel kanker  isu itu cepat kembang di media sosial dan mulut ke mulut  namun isu itu justru tak surut jual ikan lele di medan dan masih stabil dan tidak pengaruh  aku jumlah dagang di medan dan tani ikan lele di medan sekitar  tidak ada pengaruh isu hadap konsumsi dan jual ikan lele  seperti yang aku br manalu dagang ikan lele di pasar sukaramai medan  turut jual ikan lele tetap stabil dan tidak kena dampak  kait berita sebut pun banyak masyarakat yang masih konsumsi ikan lele  jual lele tetap normal dan harga lele juga masih stabil rp  18000 kilo  dan sangat sayang dengan kabar yang kata lele kandung sel kanker  jelas ini buat budi daya lele singgung dan kami pun bagai dagang jelas akan sulit untuk cari pasok ikan lele   terang  senin  16 11   orang tani ikan lele di kawasan medan marelan  pujiono aku  tidak pengaruh minta ikan lele dari kolam milik  bahkan panen ikan belakang ini tidak mampu penuh pasar yang mayoritas di kirim ke aceh dan pasar medan  kait ikan lele kandung sel kanker  pakar gizi masyarakat dan guru besar pangan dan gizi institut tani bogor  ipb   prof dr ir ali khemsan ms  saat di konfirmasi lalu selular  senin  16 11  ban isu sebut  dia sangat sayang dengan berita tentang bakteri sel kanker yang kandung di ikan lele   berita itu turut saya tidak benar  malah ini buat para pembudidaya ikan lele rasa singgung dan pukul  karena dari situ mereka bisa penuh butuh hidup   jelas  justru kata  picu sel kanker adalah minyak goreng goreng ikan lele   justru yang buat dan timbul sel kanker itu pada masyarakat yang goreng sesuatu atau bahkan ikanlele sendiri untuk jual dengan guna minyak jelantah  minyak bekas   itu yang bisa picu kanker  oleh karena itu  harap kepada seluruh masyarakat untuk lebih hati hati ketika beli makan yang di goreng dengan guna minyak   pungkas,Valid
6,3,Bagi
7,nikmat kuliner dengan bahan dasar ikan lele  berita ini sungguh sangat sedih  bagaimana tidak  ikan yang lama ini sangat enak ini anggap bagai sumber sakit  beberapa informasi yang kami oleh dari masyarakat nyata kalau ikan lele kandung 3000 sel kanker  ikan lele punya mampu hidup yang cukup tinggi  ia lengkap dengan alat nafas tambah yang sebut dengan labirin  sehingga mampu untuk hidup lebih ikan ikan lain  ikan lele hidup di tempat yang kotor  lumpur dan jorok  ikan lele juga makan limbah dan kotor  sehingga opini masyarakat kata bahwa lele sebab sakit kanker  namun untuk saat ini budidaya lele sudah tidak laku di tempat yang kotor dan jorok lagi  kini budi daya lele sudah laku di kolam yang bersih  kolam sintetis dengan air yang bersih  serta pasok makan untuk lele juga lebih jamin  jika lihat dari cara masak  cara olah  ikan lele akan asa lebih nikmat jika goreng  namun banyak orang si jual lele guna minyak jelantah untuk goreng ikan lele  mereka guna minyak goreng cara ulang  minyak goreng yang guna cara ulang ulang hingga warna hitam pekat akan sebab sakit kanker  oleh karena itu benar bukan hanya ikan lele saja yang sebab kanker  makan apa jika di goreng dengan guna minyak jelantah akan sebab sel kanker dalam tubuh manusia  jadi simpul  yang anggap bahwa lele kandung sel kanker itu adalah tidak benar  ikan lele tidak sebab sel kanker  namun cara olah yang guna minyak jelantah itu yang sebab sel kanker dalam tubuh manusia,Valid
8,4,Ikan
9,lele rupa salah satu makan favorit di indonesia  selain harga murah  rasa juga sangat enak  meski demikian  ada bagi masyarakat yang takut nikmat masakan dari ikan air tawar sebut  mereka anggap jika ikan lele sebab kanker dan sakit lain  namun apakah anggap yang nyata lele kandung kanker sebut benar   ikut ini jelas  habitat dan hidup ikan lele di alam hidup yang asli  ikan lele adalah spesies yang kenal dengan tangguh dan daya tahan  binatang ini milik alat nafas tambah yang nama labirin  dengan ada labirin di tubuh  ikan lele dapat hidup di segala macam kondisi  bahkan di air keruh dan cemar sekalipun lele masih bisa tahan  ikan lele memang rupa hewan yang sangat mudah adaptasi serta cepat kembang biak  banding jenis lain  lele juga masuk ikan yang tingkat kembang tubuh golong pesat  hanya dalam hitung puluh hari saja ukur dan berat tubuh bisa naik beberapa kali lipat  selain itu  ikan lele juga bisa konsumsi jenis makan apa saja  bahkan saat lapar hewan sungut ini juga mau makan kotor binatang lain  masuk limbah yang kandung racun bahaya  oleh karena itu  tidak heran jika binatang yang dalam bahasa inggris nama dengan sebut catfish ini sering pandang bagai ikan jorok dasar karakter maupun pola hidup  hal ini yang kemudian muncul tafsir bila ikan lele sebab kanker atau dengan kata lain lele kandung kanker  hasil teliti bukti pada sisi yang lain bagaimana yang lapor  bila pakai cara sembarang antibiotik akan timbul kebal kuman atau resistensi  di amerika  kasus ini terus alami tingkat karena antibiotik sering temu pada ikan hasil budidaya  turut hasil teliti yang laku arizona state university  salah satu jenis ikan hasil budidaya yang milik kandung antibiotik tingkat tinggi adalah ikan lele yang seringkali beli dan konsumsi oleh masyarakat  apabila antibiotik makin sering konsumsi  akibat adalah bakteri yang serang tubuh manusia makin tambah kuat  bakteri  virus  parasit  dan jamur mampu tahan antibiotik sehingga sistem obat tidak akan mampu sembuh serang sakit  beda budidaya ikan lele di indonesia dan negara lain sementara itu  di indonesia sendiri para ternak sering mengembangbiakan serta besar ikan lele di kolam atau tambak  kolam sebut selalu jaga agar bebas dari cemar dan jauh dari pusat buang limbah  makan yang beri juga rupa makan khusus untuk ikan lele  jadi tetap aman konsumsi dan tidak akan timbul masalah pada sehat  kondisi ini jauh beda dengan kasus yang jadi di tiongkok beberapa waktu yang lalu  ketika itu muncul aneka keluh dari masyarakat provinsi hainan yang alami ganggu sehat telah konsumsi ikan lele  telah laku telusur nyata sumber masalah ini letak pada tata kelola dan sistem terna ikan lele  kolam yang pakai untuk pelihara ikan sebut penuh sampah dengan kandung merkuri yang sangat tinggi  selain itu  letak dekat dengan kandang babi dan ayam  lebih dari itu  kolam sebut tidak pernah bersih sama sekali  kasus yang hampir mirip juga jadi di nigeria afrika  bagaimana rilis yang keluar  bagi besar ikan lele yang konsumsi masyarakat negara sebut ambil dari sungai  padahal sungai sebut penuh limbah  kotor dan cemar  akibat dari konsumsi ikan lele ini adalah jadi serang kanker  selain itu  juga sering muncul masalah lain misal obesitas atau gemuk badan dan darah jadi kotor  kotor alir darah akan timbul masalah yang lebih serius pada tubuh seperti sakit ginjal  dan jantung  muncul kasus ini juga buat masyarakat makin tambah yakin bahwa lele kandung kanker dan tumor  sistem olah ikan lele salah satu cara paling populer masak ikan lele adalah dengan cara goreng  banyak yang tidak tahu bahwa teknik goreng yang salah dapat sebab lele yang konsumsi jadi sumber muncul serang sakit dan yang paling utama yaitu sakit kanker  salah paling fatal yang paling sering jadi ialah pada guna minyak  minyak yang guna untuk goreng ikan lele harus bebas dari kandung kolesterol maupun zat bahaya lain  meski ikan dibudidaya dengan cara yang benar dan bersih belum masak  namun ketika minyak goreng tidak sehat tetap bisa muncul serang sakit  dari sini tentu kita jadi paham jika sumber datang sakit sebut tidak asal dari ikan lele sendiri lain minyak  inti  antara ikan lele dan kanker betul tidak punya hubung sama sekali  simpul yang dapat jadi simpul  jika pelihara dengan cara yang benar dan kolam selalu bersih serta bebas dari cemar maka ikan lele tetap aman konsumsi  demikian pula dengan sistem olah harus cuci hingga bersih belum masak  beberapa jenis bakteri yang sering temu di tubuh ikan lele adalah salmonella  shigella  hingga ecoli  ada bakteri bakteri ini yang buat ikan lele sebab kanker dan tumor  tetapi bila olah dengan suhu panas yang tepat  bisa pasti bakteri sebut akan mati dengan sendiri ,Valid
10,5,Ikan
